,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Wakefield,40.89470517661,-73.84720052054902,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
1,Wakefield,40.89470517661,-73.84720052054902,Ripe Kitchen & Bar,40.898151685683544,-73.83887499584462,Caribbean Restaurant
2,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.896649,-73.8448461,Pharmacy
3,Wakefield,40.89470517661,-73.84720052054902,Ali's Roti Shop,40.89403569556059,-73.8569349369388,Caribbean Restaurant
4,Wakefield,40.89470517661,-73.84720052054902,Jackie's West Indian Bakery,40.88928305984094,-73.84330953453158,Caribbean Restaurant
5,Wakefield,40.89470517661,-73.84720052054902,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
6,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.8890623,-73.8429927,Pharmacy
7,Wakefield,40.89470517661,-73.84720052054902,Jimbo's,40.89174013088267,-73.85822584571335,Burger Joint
8,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop
9,Wakefield,40.89470517661,-73.84720052054902,Walgreens,40.89875681347848,-73.85444551706314,Pharmacy
10,Wakefield,40.89470517661,-73.84720052054902,SUBWAY,40.89065631618457,-73.84919159087512,Sandwich Place
11,Wakefield,40.89470517661,-73.84720052054902,Shell,40.894187118166535,-73.84586195733382,Gas Station
12,Wakefield,40.89470517661,-73.84720052054902,T-Mobile,40.892988,-73.85725699999999,Mobile Phone Shop
13,Wakefield,40.89470517661,-73.84720052054902,Popeyes Louisiana Kitchen,40.898292,-73.854719,Fried Chicken Joint
14,Wakefield,40.89470517661,-73.84720052054902,Fine Fare,40.88924476474482,-73.84357937403945,Supermarket
15,Wakefield,40.89470517661,-73.84720052054902,Golden Krust Caribbean Restaurant,40.892988,-73.85725699999999,Caribbean Restaurant
16,Wakefield,40.89470517661,-73.84720052054902,Foodtown,40.896418935039556,-73.85564224112738,Supermarket
17,Wakefield,40.89470517661,-73.84720052054902,McDonald's,40.90264544569362,-73.84948544204235,Fast Food Restaurant
18,Wakefield,40.89470517661,-73.84720052054902,E&L Bakery,40.893564000000005,-73.85699699999999,Bakery
19,Wakefield,40.89470517661,-73.84720052054902,Domino's Pizza,40.89844256649264,-73.85485053062439,Pizza Place
20,Wakefield,40.89470517661,-73.84720052054902,Chase Bank,40.893297,-73.856222,Bank
21,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.89838958635662,-73.85464265921001,Donut Shop
22,Wakefield,40.89470517661,-73.84720052054902,Shell,40.891771000000006,-73.853213,Gas Station
23,Wakefield,40.89470517661,-73.84720052054902,Capital One Bank,40.89374018544049,-73.85745366780156,Bank
24,Wakefield,40.89470517661,-73.84720052054902,Pitman Deli,40.89414920073695,-73.84574821662589,Food
25,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.89306385538046,-73.85697719386576,Donut Shop
26,Wakefield,40.89470517661,-73.84720052054902,Popeyes Louisiana Kitchen,40.889322016018355,-73.84332313766208,Fried Chicken Joint
27,Wakefield,40.89470517661,-73.84720052054902,McDonald's,40.8913759474037,-73.85163239095422,Fast Food Restaurant
28,Wakefield,40.89470517661,-73.84720052054902,Louis Pizza,40.898399,-73.84881,Pizza Place
29,Wakefield,40.89470517661,-73.84720052054902,Koss Quick Wash,40.891281,-73.84990400000001,Laundromat
30,Wakefield,40.89470517661,-73.84720052054902,Shell,40.886595957614354,-73.84916287540008,Gas Station
31,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.892241,-73.8582369,Pharmacy
32,Wakefield,40.89470517661,-73.84720052054902,Dee-Lectable Pleasure Cakes,40.890736042333955,-73.85183339667164,Bakery
33,Wakefield,40.89470517661,-73.84720052054902,McDonald's,40.892779,-73.857473,Fast Food Restaurant
34,Wakefield,40.89470517661,-73.84720052054902,Hong Kong China King,40.89164018732252,-73.84089838786122,Chinese Restaurant
35,Wakefield,40.89470517661,-73.84720052054902,Baychester Avenue Food Truck,40.889533475426894,-73.84387915679305,Food Truck
36,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.89851188277123,-73.8553595778686,Pharmacy
